Kontext;Quelle;Anforderungs Nr.;Titel;Beschreibung;Verbindlichkeit;Pruefverfahren;Thema;Schwerpunkt
eRp;gemSpec_eRp_FdV;A_19443;E-Rezept-FdV: Ausführung der Anwendungsfälle;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, die in ""TAB_FdVERP_003 –
Übersicht Anwendungsfälle E-Rezept-FdV"" beschriebenen Anwendungsfälle
auszuführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF;unknown
eRp;gemSpec_eRp_FdV;A_22726;E-Rezept-FdV: 2D-Code Abrechnungsinformation anzeigen - E-Rezept auswählen;"Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, ein E-Rezept für die Anzeige
des 2D-Code der Abrechnungsinformation auszuwählen, um einer Apotheke das
Einscannen zu ermöglichen und sie somit für das Ändern des
PKV-Abgabedatensatzes zu berechtigen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF 2D-Code Abrechnungsinformation anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_22727;E-Rezept-FdV: 2D-Code Abrechnungsinformation anzeigen - Abrechnungsinformation-Token erstellen;"Das E-Rezept-FdV MUSS für das ausgewählte E-Rezept den
Abrechnungsinformation-Token erstellen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF 2D-Code Abrechnungsinformation anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_22728;E-Rezept-FdV: 2D-Code Abrechnungsinformation anzeigen;"Das E-Rezept-FdV MUSS mit dem erstellten Abrechnungsinformation-Token einen
2D-Code erstellen und auf dem Display des Endgerätes anzeigen. ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF 2D-Code Abrechnungsinformation anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_19483;E-Rezept-FdV: 2D-Code einscannen;Das E-Rezept-FdV MUSS es dem Nutzer ermöglichen, einen 2D-Code einzuscannen.;MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF 2D-Code einscannen;unknown
eRp;gemSpec_eRp_FdV;A_19579;E-Rezept-FdV: Zugriff auf Geräte-Kamera;"Das E-Rezept-FdV MUSS zum Einscannen eines 2D-Codes auf die Kamera des
verwendeten Gerätes zugreifen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF 2D-Code einscannen;unknown
eRp;gemSpec_eRp_FdV;A_20005;E-Rezept-FdV: 2D-Code;"Das E-Rezept-FdV MUSS einen eingescannten 2D-Code decodieren und die darin
enthaltenen Daten zu einem oder mehreren  E-Rezepten (Task-ID, AccessCode) im
E-Rezept-FdV speichern.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF 2D-Code einscannen;unknown
eRp;gemSpec_eRp_FdV;A_19344;E-Rezept-FdV: Abgabeinformationen abrufen;"Das E-Rezept-FdV MUSS den Anwendungsfall für das Abrufen der
Abgabeinformationen gemäß TAB_FdVERP_013 umsetzen.
 Tabelle # : TAB_FdVERP_013 – Abgabeinformation abrufen

Name Abgabeinformationen abfrufen
Auslöser
 * Aufruf des Anwendungsfalls in der GUI
 * automatisch, wenn der Status ""quittiert"" zu einem E-Rezept bestimmt wurde
Akteur Versicherter
Vorbedingung
 * Ein E-Rezept ist im E-Rezept-Frontend lokal gespeichert.
 * Der Status des E-Rezepts ist ""quittiert"".
 * Authentisierung des Nutzers ist erfolgt.
Nachbedingung
 * Die Abgabeinformationen liegen im E-Rezept-FdV vor.
Standardablauf
 * MedicationDispense am Fachdienst abrufen
 * Abgabeinformationen extrahieren ";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abgabeinformationen anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_19345;E-Rezept-FdV: Abgabeinformationen abfragen - MedicationDispense abrufen;"Das E-Rezept-FdV MUSS im Anwendungsfall ""Abgabeinformationen abfragen"" die
HTTP-OperationGET /MedicationDispense  mit
 * ACCESS_TOKEN im Authorization-Header
 * optional: Suchparameter gemäß
https://www.hl7.org/fhir/medicationdispense.html#search
<https://www.hl7.org/fhir/medicationdispense.html#search>   ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abgabeinformationen anzeigen;unknown
eRp;gemSpec_eRp_FdV;A_19647;E-Rezept-FdV: Abgabeinformation abfragen - MedicationDispense im E-Rezept FdV speichern;"Das E-Rezept-FdV MUSS die vom E-Rezept-Fachdienst heruntergeladenen
Informationen zum abgegebenen Mittel im lokalen Speicher persistent speichern.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";AF Abgabeinformationen anzeigen;unknown
