Quelle;Anforderungs Nr.;Titel;Beschreibung;Verbindlichkeit;Pruefverfahren;Thema;Schwerpunkt
gemSpec_ePA_FdV;A_13695-03;ePA-Frontend des Versicherten: Login Aktensession;"Das ePA-Frontend des Versicherten MUSS den Anwendungsfall ""UC 1.1 - Login durch
einen Versicherten"" aus [gemSysL_ePA] gemäß TAB_FdV_123 umsetzen.

Tabelle #: TAB_FdV_123 – Login Aktensession

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Nutzerzugang;ePA
gemSpec_ePA_FdV;A_15257-01;ePA-Frontend des Versicherten: Qualität verwendeter Schlüssel;"Das ePA-Frontend des Versicherten MUSS sicherstellen, dass die von ihm
erzeugten Schlüssel die Qualität nach [gemSpec_Krypt#GS-A_4368] besitzen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;Neutral
"gemSpec_ePA_FdV
";A_15283-01;ePA-Frontend des Versicherten: Dokumentgrößen von 25 MB;"Das ePA-Frontend des Versicherten MUSS für alle Außenschnittstellen, in denen ein Dokument verarbeitet wird, Dokumente mit einer Größe von mindestens 25 MB
unterstützen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""
";Funktion;ePA
gemSpec_ePA_FdV;A_15292-05;ePA-Frontend des Versicherten: Parameter speichern und laden;"Das ePA-Frontend des Versicherten MUSS die Parameter aus TAB_FdV_104 persistent
speichern und bei der Initialisierung laden.

 Tabelle #: TAB_FdV_104 – Parameter FdV

[...]";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""
";Funktion [Konfiguration];ePA
gemSpec_ePA_FdV;A_15294-01;ePA-Frontend des Versicherten: Login nach Notwendigkeit;"Das ePA-Frontend des Versicherten MUSS den Anwendungsfall ""Login Aktensession""
vor der Ausführung einer fachlichen Operation, welche eine Kommunikation mit
dem ePA-Aktensystem beinhaltet, starten, wenn im Rahmen der internen
Session-Verwaltung keine gültigen Session-Daten vorhanden sind.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Session;Neutral
gemSpec_ePA_FdV;A_15295-01;ePA-Frontend des Versicherten: Beenden der Session;"Das ePA-Frontend des Versicherten MUSS zum Beenden der Aktensession den Anwendungsfall ""Logout Aktensession"" ausführen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Session;Neutral
gemSpec_ePA_FdV;A_15296-01;ePA-Frontend des Versicherten: Abmeldung des Nutzers nach Inaktivität;"Das ePA-Frontend des Versicherten MUSS den Nutzer nach spätestens 20 Minuten
Inaktivität (Zeitspanne nach der letzten Nutzer-Aktivität) automatisch abmelden
und die Aktensession beenden.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Session;Neutral
gemSpec_ePA_FdV;A_15297-01;ePA-Frontend des Versicherten: Kommunikation über TLS-Verbindung;"Das ePA-Frontend des Versicherten MUSS mit dem Zugangsgateway des Versicherten
ausschließlich über TLS kommunizieren.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;Neutral
gemSpec_ePA_FdV;A_15298-01;ePA-Frontend des Versicherten: Unzulässige TLS-Verbindungen ablehnen;"Das ePA-Frontend des Versicherten MUSS bei jedem Verbindungsaufbau das
Zugangsgateway des Versicherten anhand seines TLS-Zertifikats authentifizieren
und MUSS die Verbindungen ablehnen, falls die Authentifizierung fehlschlägt.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;Neutral
gemSpec_ePA_FdV;A_15299-03;ePA-Frontend des Versicherten: eine TLS-Session pro Aktensession;"Das ePA-Frontend des Versicherten MUSS für jede Aktensession genau eine
TLS-Session nutzen.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;ePA
gemSpec_ePA_FdV;A_15300-01;ePA-Frontend des Versicherten: TLS-Verbindungsaufbau nach Notwendigkeit;"Das ePA-Frontend des Versicherten MUSS eine TLS-Verbindung zum Zugangsgateway
des Versicherten aufbauen, wenn die ausgeführte Operation eine Kommunikation
zum ePA-Aktensystem oder den zentralen Diensten der TI beinhaltet und keine
TLS-Verbindung zum Zugangsgateway des Versicherten für die Aktensession besteht.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;Neutral
gemSpec_ePA_FdV;A_15301-01;ePA-Frontend des Versicherten: TLS-Verbindung beenden;"Das ePA-Frontend des Versicherten MUSS die für eine Aktensession
aufgebaute TLS-Verbindung zum Zugangsgateway des Versicherten schließen,
wenn die Aktensession beendet wird.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;Neutral
gemSpec_ePA_FdV;A_15302-02;ePA-Frontend des Versicherten: Lokalisierung Zugangsgateway für Versicherte;"Das ePA-Frontend des Versicherten MUSS den Endpunkt für die Kommunikation mit
dem Zugangsgateway für Versicherte mittels des Mechanismus gemäß
[gemSpec_Aktensystem#A_22688-*] ermitteln.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Funktion;ePA
gemSpec_ePA_FdV;A_15303-01;ePA-Frontend des Versicherten: SOAP-Responses valide;"Das ePA-Frontend des Versicherten MUSS bei allen SOAP-Responses eine
Schemaprüfung durchführen und mit einer qualifizierten Fehlermeldung abbrechen,
wenn die Nachricht nicht valide ist.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Funktion;ePA
gemSpec_ePA_FdV;A_15304-01;ePA-Frontend des Versicherten: Umsetzung sicherer Kanal zur Dokumentenverwaltung;"Das ePA-Frontend des Versicherten MUSS den im Rahmen des sicheren
Verbindungsaufbaus mit der Dokumentenverwaltung ausgehandelten
Sitzungsschlüssel verwenden, um den HTTP Body aller über den sicheren Kanal zu
sendenden Requests an die Dokumentenverwaltung zu verschlüsseln und alle über
den sicheren Kanal gesendeten Responses von der Dokumentenverwaltung zu
entschlüsseln.";MUSS;"Festlegungen zur funktionalen Eignung ""Produkttest/Produktübergreifender Test""";Sicherheit;Neutral
